CIS 1300,Problem Solving Using Computers
CIS 1332,Introduction to Information Technology
CIS 2334,Information Systems Applications
CIS 2336,Web Application Development
CIS 2337,Fundamentals of Information Security
CIS 2348,Information Systems Application Development
CIS 3320,Information Visualization
CIS 3330,Information Systems in Organizations
CIS 3337,Secure Application Design
CIS 3343,Information Systems Analysis & Design
CIS 3347,Information Systems Infrastructure and Networking
CIS 3351,Intrusion Detection and Incident Response
CIS 3357,Cloud Computing Infrastructure
CIS 3367,Cloud Computing Architecture and Implementation
CIS 3368,Advanced Information Systems Development
CIS 4320,Decision Informatics
CIS 4338,Advanced Database Concepts
CIS 4339,Enterprise Applications Development
CIS 4355,Information Systems Operations
CIS 4357,Digital Forensics
CIS 4365,Database Management
CIS 4367,Advanced Digital Forensics
CIS 4375,Project Management and Practice
CIS 4397,Selected Topics in Computer Information Systems
CIS 4398,Independent Study
